city_id,city,mean_hotel_rating
1,Mont Saint Michel,8.9
2,St Malo,8.73
3,Bayeux,8.97
4,Le Havre,8.4
5,Rouen,8.57
6,Paris,5.33
7,Amiens,9.1
8,Lille,8.13
9,Strasbourg,8.03
10,Chateau du Haut Koenigsbourg,9.2
11,Colmar,8.27
12,Eguisheim,9.47
13,Besancon,7.47
14,Dijon,8.23
15,Annecy,8.17
16,Grenoble,8.77
17,Lyon,7.87
18,Gorges du Verdon,8.83
19,Bormes les Mimosas,5.73
20,Cassis,8.97
21,Marseille,8.57
22,Aix en Provence,8.83
23,Avignon,7.63
24,Uzes,9.5
25,Nimes,8.57
26,Aigues Mortes,9.1
27,Saintes Maries de la Mer,7.73
28,Collioure,8.77
29,Carcassonne,8.37
30,Ariege,8.57
31,Toulouse,8.3
32,Montauban,8.17
33,Biarritz,7.7
34,Bayonne,8.57
35,La Rochelle,8.37
